,Strain.original.name,Codigo.CCBT,Serogroup.x,Serotype,Origin,Isolate.date,Geographic.origin,conservacion,Growth,ELISA.x,Zot.x,Zot.Ace.x,ctxA.x,tcp.x,N.Caja,Observ.x,RAPD,PFGE,VCR.PCR,REP.PCR,Supplier.Name,Strain.name,Serogroup.y,Serotipe,Origen,Isolation.date,City,Province,TCBS,TSA,Oxidase,ELISA.y,Zot.y,Zot.Ace.y,ctxA.y,tcp.y,Observ.y,Lane,Sample,Public.Name,Strain,Geographic.origin_NR,latitude,longitude,Province_Geographic.origin_NR,contaminated
1,CF9097,,O1,Inaba,Human,10/02/1992,Capital Federal,,contaminada,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buenos Aires (city),-34.59949,-58.342609,Buenos Aires,
19,J123,,O1,Ogawa,Human,24/02/1992,Jujuy,caja 1 temp amb ,TCBS + TSA+ Oxidas+,Positive,,,,,1,,,,NA,,CCBT0178,,O1,Ogawa,Human,24/02/1992,,Jujuy,Positive,Positive,Positive,Positive,,,,,NA,26268_1#246,4772STDY6940944,NA,NA,Jujuy,-23.119228,-65.614263,Jujuy,
60,F99 no H,,O1,Ogawa,Ambiental,21/04/1992,Formosa,,,Negative,Negative,Negative,Negative,NR,3,,,,NA,,CCBT0190,,O1,Ogawa,Human,05/05/1992,,Formosa,Positive,Positive,Positive,Negative,Negative,Negative,Negative,,NA,26268_1#257,4772STDY6940955,NA,NA,Formosa,-26.177909,-58.188489,Formosa,
71,S23,,O1,Ogawa,Human,21/04/1992,Salta,caja 3 temp amb (numero repetido),TCBS+ TSA+ oxidasa+,Positive,Positive,Positive,Positive,NR,3,,,,NA,,CCBT0168,,O1,Ogawa,Human,21/04/1992,,Salta,Positive,Positive,Positive,Positive,Positive,Positive,Positive,NR,NA,26268_1#238,4772STDY6940936,NA,NA,Salta,-24.832143,-65.539433,Salta,
75,S25,,O1,Ogawa,Human,21/04/1992,Salta,caja 3 temp amb,TCBS+ TSA+ oxidasa+,Positive,,,,,3,,,,NA,,CCBT0215,,O1,Ogawa,Human,21/04/1992,,Salta,Positive,Positive,Positive,Positive,,,,,NA,26268_1#281,4772STDY6940979,NA,NA,Salta,-24.832143,-65.539433,Salta,
76,S26,,O1,Ogawa,Human,21/04/1992,Salta,caja4 temp amb ,TCBS+ TSA+ Oxidasa +,Positive,,,,,3,,,,NA,,CCBT0069,VC237,non-O1,,Environmental,13/11/1992,,Salta,,,,Negative,,,,,NA,26268_1#159,4772STDY6940855,NA,NA,Salta,-24.832143,-65.539433,Salta,
7,Agalla ,,no-O1, ,Human,10/02/1992,Salta,,,Negative,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salta,-24.832143,-65.539433,Salta,
8,S 132,,O1,Ogawa,Ambiental,10/02/1992,Salta,,no crecio,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salta,-24.832143,-65.539433,Salta,
9,S 121,,O1,Ogawa,Human,10/02/1992,Salta,,contaminada,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salta,-24.832143,-65.539433,Salta,
10,S 123,,O1,Ogawa,Human,10/02/1992,Salta,,no crecio,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salta,-24.832143,-65.539433,Salta,
11,S 128,,O1,Ogawa,Human,10/02/1992,Salta,,,Positive,,,,,1,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salta,-24.832143,-65.539433,Salta,
